,Pais_comprador,Industria,2000/Enero,2000/Febrero,2000/Marzo,2000/Abril,2000/Mayo,2000/Junio,2000/Julio,2000/Agosto,2000/Septiembre,2000/Octubre,2000/Noviembre,2000/Diciembre,2001/Enero,2001/Febrero,2001/Marzo,2001/Abril,2001/Mayo,2001/Junio,2001/Julio,2001/Agosto,2001/Septiembre,2001/Octubre,2001/Noviembre,2001/Diciembre,2002/Enero,2002/Febrero,2002/Marzo,2002/Abril,2002/Mayo,2002/Junio,2002/Julio,2002/Agosto,2002/Septiembre,2002/Octubre,2002/Noviembre,2002/Diciembre,2003/Enero,2003/Febrero,2003/Marzo,2003/Abril,2003/Mayo,2003/Junio,2003/Julio,2003/Agosto,2003/Septiembre,2003/Octubre,2003/Noviembre,2003/Diciembre,2004/Enero,2004/Febrero,2004/Marzo,2004/Abril,2004/Mayo,2004/Junio,2004/Julio,2004/Agosto,2004/Septiembre,2004/Octubre,2004/Noviembre,2004/Diciembre,2005/Enero,2005/Febrero,2005/Marzo,2005/Abril,2005/Mayo,2005/Junio,2005/Julio,2005/Agosto,2005/Septiembre,2005/Octubre,2005/Noviembre,2005/Diciembre,2006/Enero,2006/Febrero,2006/Marzo,2006/Abril,2006/Mayo,2006/Junio,2006/Julio,2006/Agosto,2006/Septiembre,2006/Octubre,2006/Noviembre,2006/Diciembre,2007/Enero,2007/Febrero,2007/Marzo,2007/Abril,2007/Mayo,2007/Junio,2007/Julio,2007/Agosto,2007/Septiembre,2007/Octubre,2007/Noviembre,2007/Diciembre,2008/Enero,2008/Febrero,2008/Marzo,2008/Abril,2008/Mayo,2008/Junio,2008/Julio,2008/Agosto,2008/Septiembre,2008/Octubre,2008/Noviembre,2008/Diciembre,2009/Enero,2009/Febrero,2009/Marzo,2009/Abril,2009/Mayo,2009/Junio,2009/Julio,2009/Agosto,2009/Septiembre,2009/Octubre,2009/Noviembre,2009/Diciembre,2010/Enero,2010/Febrero,2010/Marzo,2010/Abril,2010/Mayo,2010/Junio,2010/Julio,2010/Agosto,2010/Septiembre,2010/Octubre,2010/Noviembre,2010/Diciembre,2011/Enero,2011/Febrero,2011/Marzo,2011/Abril,2011/Mayo,2011/Junio,2011/Julio,2011/Agosto,2011/Septiembre,2011/Octubre,2011/Noviembre,2011/Diciembre,2012/Enero,2012/Febrero,2012/Marzo,2012/Abril,2012/Mayo,2012/Junio,2012/Julio,2012/Agosto,2012/Septiembre,2012/Octubre,2012/Noviembre,2012/Diciembre,2013/Enero,2013/Febrero,2013/Marzo,2013/Abril,2013/Mayo,2013/Junio,2013/Julio,2013/Agosto,2013/Septiembre,2013/Octubre,2013/Noviembre,2013/Diciembre,2014/Enero,2014/Febrero,2014/Marzo,2014/Abril,2014/Mayo,2014/Junio,2014/Julio,2014/Agosto,2014/Septiembre,2014/Octubre,2014/Noviembre,2014/Diciembre,2015/Enero,2015/Febrero,2015/Marzo,2015/Abril,2015/Mayo,2015/Junio,2015/Julio,2015/Agosto,2015/Septiembre,2015/Octubre,2015/Noviembre,2015/Diciembre,2016/Enero,2016/Febrero,2016/Marzo,2016/Abril,2016/Mayo,2016/Junio,2016/Julio,2016/Agosto,2016/Septiembre,2016/Octubre,2016/Noviembre,2016/Diciembre,2017/Enero,2017/Febrero,2017/Marzo,2017/Abril,2017/Mayo,2017/Junio,2017/Julio
0,América Latina,Industrias Manufactureras,45624927.0,38402717.0,45714515.0,53314410.0,68750896.0,67485328.0,62364404.0,60669012.0,65432673.0,55449279.0,64030031.0,69420372.0,60262319.0,67522980.0,86290892.0,77937911.0,85108588.0,73835368.0,78546337.0,69221493.0,84228644.0,82759261.0,71924711.0,70730651.0,62023950.0,62459404.0,73626985.0,69694547.0,70193502.0,65390258.0,84103970.0,91348734.0,89503618.0,86753087.0,64925972.0,84419002.0,53140179.0,52730525.0,60429677.0,58744343.0,62084305.0,78329872.0,96628822.0,84397497.0,99637738.0,95516128.0,139718113.0,87220366.0,54292776.0,62814703.0,67300724.0,65268285.0,64595511.0,62128795.0,56833656.0,70327842.0,61219999.0,66213140.0,81508155.0,65054509.0,58285129.0,81260433.0,68131575.0,74255828.0,72027599.0,72909762.0,80570266.0,77186708.0,83873893.0,76430440.0,103148390.0,80411008.0,76076809.0,72823285.0,95966953.0,77188389.0,91317411.0,88001064.0,73507932.0,83395018.0,80882603.0,92516041.0,92903427.0,78713338.0,115018796.0,117749088.0,143263062.0,133539402.0,148377338.0,162471084.0,154455917.0,181839168.0,133652139.0,166274689.0,160736936.0,137059660.0,167464230.0,207695896.0,207870594.0,217538566.0,191462756.0,202833430.0,231499301.0,232780395.0,245647861.0,172011366.0,131928745.0,184960263.0,124822593.0,124418175.0,132671035.0,111088736.0,99744032.0,125857880.0,139258221.0,146090593.0,174830177.0,145582212.0,192566444.0,166053027.0,170255151.0,174695474.0,225043181.0,241169618.0,223357095.0,271196663.0,234424812.0,272901846.0,214608175.0,202106408.0,225568142.0,245388127.0,228496717.0,225636405.0,309213037.0,283827608.0,297164452.0,338378418.0,301791994.0,395359448.0,383704146.0,376411016.0,420086063.0,376344486.0,336032284.0,368112786.0,460252952.0,383335323.0,339097873.0,429771838.0,335500561.0,310678358.0,275295065.0,268116843.0,248413633.0,243921261.0,255420276.0,253651654.0,304945168.0,293179040.0,311699718.0,335990656.0,387178812.0,364485425.0,338156500.0,343821931.0,301498197.0,271279623.0,228187784.0,219652814.0,274470508.0,294149149.0,278547017.0,298111292.0,265101595.0,289723051.0,282299189.0,310987664.0,294818529.0,247149170.0,195019627.0,207683485.0,224172173.0,225556880.0,221165395.0,223520932.0,263653987.0,219923200.0,205014645.0,197189996.0,172334311.0,195252447.0,150011545.0,156284467.0,172482653.0,180442928.0,186511927.0,235400594.0,182003493.0,184201588.0,209812150.0,206177987.0,193984710.0,188936649.0,176497741.0,170571934.0,213453105.0,190375350.0,226491300.0,231492812.0,205106823.0
1,América Latina,Industrias Extractivas,242891.0,222199.0,239427.0,243048.0,219040.0,165866.0,227184.0,437984.0,306574.0,398980.0,252689.0,263640.0,449014.0,330353.0,275235.0,433334.0,180505.0,581555.0,435150.0,365458.0,522324.0,608566.0,444398.0,412927.0,415556.0,415771.0,181029.0,422848.0,378275.0,478007.0,368810.0,421565.0,225250.0,374254.0,385655.0,391342.0,348085.0,240836.0,212791.0,388565.0,376339.0,456608.0,511712.0,551539.0,350195.0,393225.0,252332.0,497163.0,5811.0,0.0,9438.0,19717.0,18175.0,12766.0,4815.0,11461.0,16093.0,492.0,4792.0,6660.0,264079.0,322568.0,258429.0,340366.0,307968.0,304636.0,348916.0,385008.0,363115.0,314797.0,391919.0,512687.0,353185.0,275659.0,356356.0,405609.0,292023.0,467807.0,422954.0,368981.0,435599.0,554961.0,80451.0,38111.0,17619.0,25730.0,29205.0,10558.0,51795.0,64163.0,51209.0,12472.0,56222.0,43404.0,13755.0,31345.0,305355.0,523310.0,27627.0,57609.0,121822.0,18704.0,46706.0,56279.0,82050.0,68132.0,17721.0,41497.0,11784.0,34804.0,12130.0,42642.0,175434.0,780301.0,24214.0,52326.0,896527.0,1130308.0,1010570.0,2172079.0,871999.0,909831.0,801394.0,805484.0,1418711.0,1046521.0,986426.0,1097109.0,1279465.0,933281.0,1308140.0,751662.0,1427881.0,1136956.0,1439599.0,821863.0,723172.0,735502.0,620103.0,849729.0,846205.0,902978.0,972282.0,681449.0,615653.0,755328.0,914804.0,927376.0,1024484.0,907728.0,1269483.0,2381875.0,1347358.0,1312982.0,613986.0,1003329.0,992405.0,1652910.0,2156422.0,2078202.0,1442115.0,1510927.0,1653838.0,1676177.0,1440847.0,1590705.0,1102304.0,2238850.0,1256914.0,999891.0,946699.0,581234.0,684244.0,1240820.0,1506457.0,1424514.0,1756372.0,1623822.0,1125790.0,1246545.0,888044.0,815676.0,1080517.0,713329.0,1126486.0,1593313.0,1434715.0,1535856.0,1295808.0,1136621.0,1159806.0,1070895.0,1058368.0,1150198.0,1220261.0,907217.0,1049375.0,1132882.0,1259245.0,1628330.0,1677727.0,1417988.0,972357.0,939289.0,743038.0,1174774.0,1145274.0,924650.0,1237762.0,1204378.0,1118482.0
2,América Latina,Agricultura y Silvicultura,10272.0,0.0,13188.0,8227.0,13335.0,51155.0,67990.0,47665.0,30904.0,19638.0,19578.0,34208.0,24572.0,1473.0,146136.0,45003.0,5680.0,95191.0,612.0,4466.0,22460.0,1047.0,10005.0,1316.0,78537.0,158580.0,154862.0,154769.0,46282.0,4206.0,60.0,35335.0,22404.0,42389.0,30558.0,30973.0,14568.0,28758.0,15341.0,32522.0,33414.0,6783.0,15196.0,222.0,521.0,4325.0,6034.0,50642.0,495647.0,1513281.0,62125.0,661056.0,93475.0,11852.0,62659.0,88170.0,84325.0,96258.0,1396254.0,2399582.0,133864.0,428886.0,43970.0,793492.0,491804.0,318509.0,172016.0,202380.0,3677008.0,11886.0,73141.0,3919651.0,1541349.0,124453.0,65688.0,1041090.0,1801963.0,995025.0,93915.0,102179.0,120918.0,63705.0,4254050.0,2466256.0,139829.0,88285.0,284725.0,2407469.0,3290305.0,795114.0,206676.0,122370.0,33842.0,289439.0,2235090.0,2981399.0,1061674.0,133920.0,757615.0,488081.0,1406962.0,4479542.0,301697.0,4395907.0,189030.0,287643.0,121948.0,856108.0,7159354.0,2645075.0,1787079.0,55917.0,167420.0,1765871.0,707955.0,423129.0,329831.0,446755.0,20224.0,4504847.0,4954349.0,7643491.0,3203908.0,1909537.0,2626154.0,1221206.0,2264823.0,937192.0,244919.0,862931.0,899396.0,1961752.0,985495.0,8806292.0,13152500.0,4232844.0,4383958.0,742537.0,1469662.0,2529200.0,729584.0,634189.0,755311.0,705261.0,7377669.0,7724271.0,4418298.0,11079315.0,1536928.0,1240854.0,1540740.0,959049.0,3419890.0,2791060.0,4318441.0,13000382.0,9285585.0,2797588.0,1977525.0,25676584.0,6622135.0,687589.0,1341767.0,2391981.0,2415211.0,1883469.0,5011598.0,4863866.0,1927505.0,10771776.0,13397891.0,22341925.0,10896197.0,4136577.0,6115447.0,2316167.0,2491269.0,9588479.0,4001579.0,1759892.0,2567274.0,846099.0,1411258.0,3825331.0,1313523.0,10083615.0,1563150.0,864666.0,1468366.0,1988064.0,650335.0,1219036.0,483847.0,1694510.0,6262862.0,11382506.0,6813275.0,2550122.0,1996147.0,1291060.0,2598763.0,7177628.0,5968904.0,5579930.0,3665253.0,8335586.0,13086784.0,3884756.0,7871155.0,1950147.0,1601679.0
3,América Latina,Servicios y Productos no Clasificados,18523.0,8408.0,8337.0,2532.0,4448.0,9937.0,4954.0,15070.0,8167.0,49244.0,12929.0,40892.0,5906.0,23706.0,23804.0,14778.0,21133.0,13672.0,5313.0,19237.0,31710.0,38720.0,33936.0,17610.0,15404.0,66729.0,117087.0,27494.0,11663.0,16746.0,18207.0,16139.0,15157.0,27460.0,74798.0,74795.0,95242.0,25594.0,3956.0,12028.0,12016.0,6813.0,10584.0,13618.0,15618.0,9093.0,14876.0,6899.0,5541.0,8403.0,4361.0,118916.0,14331.0,34427.0,7907.0,11660.0,61842.0,4480.0,20537.0,1432.0,1278.0,548.0,377.0,7273.0,2105.0,1083.0,2920.0,2201.0,263.0,2000.0,48705.0,755.0,708.0,934.0,5296.0,1877.0,5236.0,2363.0,11035.0,5914.0,4293.0,5287.0,21348.0,11190.0,11572.0,5076.0,19258.0,417.0,14049.0,6230.0,2167.0,3487.0,2021.0,4476.0,7194.0,16916.0,765.0,32809.0,8426.0,7700.0,9794.0,988.0,3513.0,4347.0,2950.0,4484.0,9337.0,1812.0,1214.0,5036.0,4509.0,5582.0,4156.0,19537.0,5546.0,30945.0,3655.0,11018.0,12946.0,15629.0,7322.0,10246.0,16391.0,7918.0,6434.0,16775.0,27627.0,2238.0,9050.0,22197.0,13186.0,2352.0,20859.0,1380.0,1453.0,11718.0,59627.0,12839.0,4349.0,45211.0,19405.0,8488.0,7315.0,4854.0,4356.0,230782.0,27514.0,79737.0,1073.0,307038.0,100930.0,53980.0,38332.0,37445.0,39145.0,361108.0,544330.0,208312.0,303940.0,278950.0,51880.0,36626.0,48200.0,296909.0,52684.0,73743.0,122052.0,267731.0,175157.0,621179.0,1722549.0,746636.0,464232.0,317904.0,184229.0,206037.0,1473658.0,1278467.0,937886.0,681395.0,420692.0,1037813.0,841728.0,208554.0,215778.0,228119.0,217435.0,226653.0,346576.0,245251.0,428783.0,242868.0,294162.0,1301689.0,1453076.0,1003179.0,1192153.0,15838647.0,1766712.0,1703657.0,1347368.0,1469897.0,2300127.0,1873596.0,1363041.0,1422686.0,1219265.0,1480990.0,1455130.0,3954476.0,1647873.0
4,América Latina,"Ganadería, Apicultura, Caza, Pesca",0.0,0.0,0.0,2131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105558.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1495.0,0.0,0.0,0.0,0.0,26375.0,0.0,0.0,0.0,20.0,760.0,2880.0,480.0,960.0,1080.0,2996.0,0.0,720.0,0.0,1560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4104.0,978.0,4090.0,4920.0,315.0,4394.0,3833.0,7490.0,3560.0,2954.0,3234.0,1300.0,270.0,1238.0,80.0,510.0,287.0,1235.0
5,Asia,Industrias Manufactureras,48141061.0,46527710.0,43549018.0,44293026.0,38355526.0,54724148.0,47195721.0,48399040.0,56129954.0,47215365.0,48271977.0,56263388.0,59210966.0,35543163.0,49647119.0,42833941.0,59945749.0,37028126.0,42199258.0,36958784.0,45402542.0,60133104.0,41549028.0,44552880.0,143635215.0,152935008.0,105196575.0,56320987.0,55992638.0,48752798.0,60363859.0,40703707.0,51968370.0,44595693.0,53888935.0,63504199.0,38237454.0,20240214.0,28400885.0,18021174.0,13568432.0,21172610.0,14770098.0,9508029.0,15093349.0,8401234.0,7613647.0,19954083.0,40090305.0,35806742.0,47187982.0,39278666.0,47188167.0,50612061.0,89283625.0,98204151.0,87138277.0,63796880.0,64743185.0,55065315.0,56698551.0,66528469.0,62788255.0,61553855.0,63940689.0,70480137.0,53717811.0,62468491.0,52667244.0,54748694.0,118176679.0,118761796.0,103847950.0,88461373.0,116965453.0,81121954.0,110466912.0,103444511.0,202949726.0,122020407.0,108251531.0,167684009.0,186106599.0,109421757.0,123178343.0,110014454.0,121232923.0,124946533.0,162335875.0,156379925.0,149192370.0,147267925.0,138820728.0,134562185.0,116158131.0,116773919.0,128400095.0,121838909.0,131706932.0,127854305.0,108582571.0,73383342.0,57307693.0,64648687.0,82520026.0,95612455.0,50432213.0,62335433.0,58744561.0,43866044.0,72088022.0,58730354.0,55317998.0,62928587.0,53571110.0,56382142.0,70903931.0,84106695.0,91638235.0,100376169.0,86137985.0,131756655.0,129203773.0,129895834.0,125719098.0,71995220.0,64294463.0,65636695.0,89254592.0,123652127.0,129775629.0,93252774.0,91354444.0,77496259.0,84170447.0,68352065.0,111620743.0,75833699.0,82428013.0,83818766.0,83032907.0,83627304.0,80346617.0,164584653.0,198464709.0,189187220.0,213845709.0,239159162.0,221661698.0,231331242.0,344572999.0,264090484.0,226907542.0,223236063.0,262131927.0,172708303.0,190986535.0,193186754.0,214087278.0,233048310.0,192033820.0,261881479.0,255622608.0,328862916.0,238079106.0,241095594.0,247918584.0,229494974.0,210311531.0,187697210.0,176468387.0,220461990.0,201511633.0,199470969.0,247292216.0,292322611.0,230542079.0,252999650.0,254937646.0,266825426.0,273359934.0,245484549.0,289648999.0,256740494.0,172070817.0,226200242.0,256225468.0,231817712.0,210494948.0,195019516.0,208212602.0,174151450.0,181516595.0,177079136.0,144366936.0,179504515.0,179216572.0,130945176.0,161760558.0,192334531.0,147237405.0,198226433.0,168923365.0,175626361.0,169275847.0,155214405.0,323553366.0,189724587.0,197157442.0,186261472.0,242855867.0
6,Asia,Industrias Extractivas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,37662.0,0.0,0.0,25075.0,28299.0,18806.0,10030.0,5015.0,5015.0,0.0,93345.0,0.0,0.0,0.0,34576.0,1926947.0,20349.0,0.0,1926947.0,10831.0,10268.0,3217278.0,0.0,27296.0,54338.0,0.0,64231.0,0.0,0.0,0.0,34529.0,18088.0,8025.0,0.0,126065.0,26427.0,9280.0,0.0,0.0,46903.0,96245.0,18208.0,21413.0,32961.0,45004.0,54833.0,23690.0,62312.0,101256.0,93119.0,36815.0,48344.0,94847.0,0.0,55012.0,70143.0,84478.0,112730.0,92022.0,148984.0,96693.0,109419.0,190071.0,128405.0,90789.0,165971.0,84097.0,66185.0,45210.0,154404.0,94824.0,137767.0,152247.0,48379.0,67110.0,51730.0,244891.0,63312.0,123797.0,108949.0,97636.0,324880.0,37078.0,249402.0,77656.0,58636.0,396354.0,157090.0,185146.0,204702.0,377180.0,140150.0,333825.0,265903.0,454813.0,398406.0,109640.0,207235.0,576433.0,283408.0,523926.0,283109.0,230383.0,366388.0,306362.0,298307.0,140116.0,296296.0,134707.0,251308.0,305076.0,172533.0,541768.0,245258.0,775201.0,1105810.0,659614.0,752637.0,1059020.0,415051.0,413542.0,312879.0,482252.0,805959.0,499208.0,755992.0,355420.0,757233.0,417476.0,533996.0,802398.0,229891.0,260023.0,566255.0,601750.0,379587.0,1397359.0,736747.0,405003.0,686203.0,638125.0,262170.0,610680.0,535264.0,486243.0,853266.0,732036.0,788279.0,1046012.0,766381.0,236961.0,346494.0,412296.0,803432.0,414565.0,379861.0,494677.0,474029.0,852891.0,865891.0,502272.0,906765.0,650964.0,280203.0,696133.0,693964.0,450671.0,353767.0,626398.0,435796.0,294119.0,608139.0,702997.0,974090.0,549048.0,830356.0,441432.0,503758.0,633786.0,438855.0,523084.0,384542.0,502383.0,538998.0,558994.0,683214.0,802993.0
7,Asia,Agricultura y Silvicultura,19927.0,0.0,25215.0,46483.0,24063.0,27966.0,27600.0,27938.0,55688.0,27527.0,27657.0,25669.0,13811.0,3724.0,34554.0,21045.0,25026.0,27408.0,22261.0,22150.0,26917.0,27218.0,23098.0,28397.0,11618.0,10413.0,10986.0,38466.0,13182.0,14002.0,10834.0,21016.0,13976.0,13157.0,13750.0,15686.0,13472.0,11500.0,10599.0,35093.0,14935.0,23303.0,10246.0,26020.0,16435.0,24085.0,14518.0,9695.0,1991.0,0.0,665.0,32.0,68.0,40.0,18.0,31952.0,38700.0,39042.0,18587.0,16459.0,14453.0,10350.0,27723.0,14367.0,11208.0,24154.0,58519.0,18417.0,13250.0,0.0,22352.0,0.0,26926.0,10438.0,12460.0,62304.0,91508.0,23110.0,22949.0,25562.0,3.0,25.0,257.0,2185.0,234.0,0.0,63.0,30.0,1900.0,134.0,0.0,20.0,28284.0,10020.0,16800.0,12828.0,12607.0,2.0,66715.0,77014.0,32392.0,13.0,75713.0,136213.0,12080.0,31963.0,2.0,0.0,25.0,60755.0,0.0,0.0,102500.0,282825.0,6043.0,119777.0,360380.0,123582.0,422089.0,651.0,22994.0,85491.0,9447.0,9783.0,3129.0,137.0,105612.0,171895.0,370464.0,47.0,781372.0,158286.0,40838.0,84063.0,34426.0,51.0,78714.0,44642.0,40376.0,44309.0,16243.0,410037.0,323647.0,26406.0,245079.0,24569.0,120076.0,823234.0,1397677.0,2970419.0,2137876.0,1778471.0,1835324.0,2122060.0,2851280.0,190388.0,208097.0,935552.0,1314897.0,1557790.0,1060997.0,294021.0,631897.0,1452974.0,1929536.0,1469858.0,3479787.0,2333760.0,3118605.0,3566720.0,4125128.0,5036879.0,6750676.0,3259906.0,2576620.0,1771086.0,2026376.0,1311394.0,1173462.0,2131583.0,2846139.0,2550982.0,1846695.0,1485664.0,1681209.0,1206734.0,2031641.0,2099266.0,2490416.0,3066394.0,1502873.0,2442049.0,1431744.0,2577386.0,2703295.0,3187535.0,3765146.0,4354093.0,5203993.0,4053044.0,4749897.0,4648694.0,5717631.0,4428425.0,4700126.0,6567657.0,9988983.0,4638547.0,7586434.0,6610099.0,4276965.0
8,Asia,Servicios y Productos no Clasificados,110.0,6.0,16.0,31.0,46.0,5148.0,2.0,137.0,27.0,1931.0,371.0,0.0,47.0,372.0,109.0,10.0,205.0,19.0,35.0,18.0,2.0,6.0,2.0,317.0,4.0,2.0,43.0,4501.0,1.0,315.0,297.0,0.0,0.0,15.0,0.0,0.0,67.0,444.0,2.0,140.0,7.0,108.0,144.0,0.0,0.0,36.0,112.0,76.0,6.0,556.0,4600.0,22.0,81.0,42.0,21.0,50.0,54.0,0.0,0.0,44.0,2.0,131.0,285.0,64.0,20.0,50.0,1.0,85.0,424.0,14493.0,2974.0,19.0,3.0,57.0,711.0,14.0,31.0,135.0,97.0,41.0,1.0,50.0,0.0,105.0,23.0,95.0,49.0,192.0,919.0,18.0,2.0,149.0,67.0,302.0,13.0,2.0,6.0,34.0,236.0,1.0,30.0,21.0,833794.0,974193.0,7.0,4.0,25.0,20.0,633180.0,15.0,887.0,5.0,0.0,76.0,20.0,106.0,20.0,32.0,269.0,1178.0,10.0,5.0,101463.0,12.0,28.0,58.0,553.0,10.0,0.0,120.0,0.0,0.0,0.0,0.0,983.0,91.0,3.0,1697.0,68.0,0.0,0.0,6711.0,566.0,42.0,397.0,40150.0,1800.0,1.0,400384.0,205.0,11429.0,46040.0,1.0,22887.0,52.0,13378.0,47.0,583.0,13390.0,1222.0,20.0,3637.0,212081.0,185143.0,52629.0,24547.0,24725.0,29828.0,41281.0,140958.0,181261.0,497697.0,96802.0,10208.0,133654.0,14544.0,0.0,28799.0,2872.0,9674.0,2721.0,30543.0,9698.0,132911.0,210.0,16829.0,18146.0,2791.0,43937.0,2880.0,62373.0,42.0,336814.0,639335.0,3405829.0,2886888.0,1001110.0,1684441.0,1650918.0,4110941.0,3070324.0,960132.0,1166471.0,1332445.0,1886427.0,3435939.0,2868756.0,2044182.0,1013141.0,1744764.0,1843572.0
9,Asia,"Ganadería, Apicultura, Caza, Pesca",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,150.0,0.0,50.0,0.0,100.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
