,Monto
0,151413168.0
1,135145030.0
2,197032253.0
3,178447140.0
4,173112296.0
5,195899079.0
6,183503634.0
7,152810474.0
8,207662307.0
9,185470521.0
10,191672524.0
11,168500082.0
12,1052825.0
13,354837.0
14,81955.0
15,185732.0
16,158012.0
17,57106.0
18,203345.0
19,109154.0
20,161584.0
21,573661.0
22,354813.0
23,325428.0
24,4529588.0
25,4685332.0
26,3944364.0
27,3442504.0
28,6285703.0
29,27949504.0
30,25758793.0
31,6654383.0
32,5189143.0
33,28176540.0
34,11347933.0
35,10477896.0
36,4872866.0
37,4078372.0
38,2525429.0
39,6734467.0
40,7628974.0
41,1447175.0
42,3539698.0
43,2238425.0
44,3655011.0
45,1631675.0
46,2450288.0
47,2344667.0
48,130.0
49,100.0
50,60.0
51,130.0
52,80.0
53,60.0
54,460.0
55,150.0
56,430.0
57,30.0
58,0.0
59,680.0
60,1287697953.0
61,1261122230.0
62,1291504962.0
63,1235435130.0
64,950193238.0
65,998953741.0
66,1022347096.0
67,1125449884.0
68,1150878454.0
69,1313764852.0
70,1372016511.0
71,1149911651.0
72,2396896.0
73,27706.0
74,39785.0
75,7354.0
76,2588968.0
77,2837108.0
78,22491.0
79,8407.0
80,8851.0
81,80135.0
82,6106.0
83,10.0
84,1294733.0
85,1267773.0
86,2600175.0
87,1910697.0
88,1786164.0
89,1921270.0
90,2683721.0
91,3973859.0
92,4191510.0
93,3467150.0
94,2877473.0
95,3295708.0
96,4889509.0
97,5301319.0
98,8126103.0
99,9190689.0
100,6543476.0
101,4657588.0
102,5931616.0
103,5991431.0
104,5810103.0
105,7918740.0
106,12735878.0
107,5888741.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,701685929.0
121,613566152.0
122,674158367.0
123,692030085.0
124,669489036.0
125,622127586.0
126,602343755.0
127,740683582.0
128,659291103.0
129,761068246.0
130,1170820102.0
131,783963236.0
132,462290.0
133,1133067.0
134,303335.0
135,1061485.0
136,992694.0
137,487960.0
138,416006.0
139,353298.0
140,334739.0
141,448900.0
142,571066.0
143,806098.0
144,2251149.0
145,639986.0
146,1499381.0
147,3089080.0
148,700046.0
149,1548911.0
150,1803219.0
151,4948667.0
152,23595663.0
153,21710385.0
154,4047681.0
155,3534117.0
156,10355887.0
157,13339897.0
158,13063473.0
159,11320754.0
160,9666527.0
161,8757535.0
162,14757768.0
163,11712790.0
164,11187419.0
165,11715064.0
166,12528637.0
167,22682788.0
168,15543.0
169,25415.0
170,19512.0
171,34251.0
172,34572.0
173,14784.0
174,8365.0
175,13243.0
176,12926.0
177,16458.0
178,58279.0
179,48903.0
180,26303975.0
181,29131188.0
182,41180356.0
183,44678000.0
184,26010523.0
185,31889905.0
186,21424078.0
187,20635773.0
188,15761086.0
189,14543701.0
190,13916559.0
191,17440690.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,44269.0
206,276542.0
207,381400.0
208,0.0
209,419900.0
210,399273.0
211,1165780.0
212,868727.0
213,609900.0
214,415254.0
215,340580.0
216,43576.0
217,58323.0
218,83165.0
219,1861.0
220,5019.0
221,108239.0
222,30325.0
223,3476.0
224,68291.0
225,71583.0
226,1292.0
227,3215.0
228,0.0
229,0.0
230,0.0
231,0.0
232,5.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,5839446.0
241,5317112.0
242,9780717.0
243,9550167.0
244,11788121.0
245,10008775.0
246,7876610.0
247,9142218.0
248,9884360.0
249,9294484.0
250,8989853.0
251,6711600.0
252,532874.0
253,0.0
254,333367.0
255,304253.0
256,42338.0
257,0.0
258,385550.0
259,393614.0
260,462834.0
261,452665.0
262,496376.0
263,0.0
264,0.0
265,0.0
266,0.0
267,152.0
268,0.0
269,0.0
270,0.0
271,8926500.0
272,0.0
273,0.0
274,7419604.0
275,0.0
276,24748.0
277,137194.0
278,8654.0
279,27861.0
280,18854.0
281,14080.0
282,65953.0
283,7746.0
284,90462.0
285,11397.0
286,16673.0
287,15735.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,2262568951.0
301,2173888269.0
302,2058241925.0
303,2126241496.0
304,1980455993.0
305,2144878716.0
306,2039809293.0
307,2444015627.0
308,2058447773.0
309,2258810418.0
310,2250780927.0
311,2566075032.0
312,5668403.0
313,7815812.0
314,10931045.0
315,8587855.0
316,6082357.0
317,3703540.0
318,2327408.0
319,2325017.0
320,5666783.0
321,2961989.0
322,2758214.0
323,1207457.0
324,39418013.0
325,63892241.0
326,58555482.0
327,69402043.0
328,69985432.0
329,23537750.0
330,86485748.0
331,105036019.0
332,103655145.0
333,87197449.0
334,68101961.0
335,49537940.0
336,39493271.0
337,40648744.0
338,34861269.0
339,35127362.0
340,36403316.0
341,39585951.0
342,32473543.0
343,39902184.0
344,39646224.0
345,36061619.0
346,47117487.0
347,47241155.0
348,7298.0
349,21961.0
350,34936.0
351,58226.0
352,60140.0
353,42360.0
354,26578.0
355,8915.0
356,18571.0
357,9845.0
358,2348.0
359,4130.0
360,3072.0
361,5.0
362,0.0
363,1000.0
364,397.0
365,0.0
366,37.0
367,0.0
368,0.0
369,1340.0
370,1936.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,14.0
398,0.0
399,0.0
400,50.0
401,0.0
402,4.0
403,0.0
404,0.0
405,0.0
406,46.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
